ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
individuals with medium formal education,ESP,49.0,61.0,76.0,79.0,82.0,88.0,89.0
individuals with medium formal education,EU27,35.0,42.0,50.0,57.0,59.0,65.0,69.0
individuals with medium formal education,EU28,35.0,42.0,50.0,57.0,59.0,65.0,69.0
individuals with medium formal education,FIN,55.0,57.0,66.0,71.0,75.0,80.0,79.0
individuals with medium formal education,FRA,42.0,51.0,60.0,62.0,60.0,70.0,74.0
individuals with medium formal education,HRV,43.0,43.0,41.0,56.0,55.0,55.0,71.0
individuals with medium formal education,HUN,16.0,27.0,42.0,52.0,58.0,63.0,62.0
individuals with medium formal education,IRL,53.0,62.0,69.0,74.0,72.0,79.0,81.0
individuals with medium formal education,ISL,58.0,59.0,65.0,,,85.0,82.0
individuals with medium formal education,ITA,21.0,25.0,29.0,31.0,34.0,38.0,45.0
individuals with medium formal education,LTU,13.0,18.0,22.0,26.0,30.0,40.0,49.0
individuals with medium formal education,LUX,66.0,69.0,70.0,84.0,78.0,80.0,87.0
individuals with medium formal education,LVA,20.0,27.0,27.0,38.0,40.0,49.0,50.0
individuals with medium formal education,MNE,31.0,,,,,64.0,71.0
individuals with medium formal education,MKD,18.0,30.0,44.0,59.0,62.0,69.0,62.0
individuals with medium formal education,MLT,64.0,62.0,71.0,81.0,84.0,84.0,80.0
individuals with medium formal education,NLD,58.0,68.0,71.0,80.0,82.0,89.0,89.0
individuals with medium formal education,NOR,69.0,73.0,74.0,78.0,73.0,83.0,85.0
individuals with medium formal education,POL,16.0,24.0,28.0,36.0,24.0,31.0,41.0
individuals with medium formal education,PRT,40.0,39.0,59.0,66.0,77.0,82.0,83.0
individuals with medium formal education,ROU,6.0,14.0,24.0,37.0,45.0,54.0,58.0
individuals with medium formal education,SRB,,,,46.0,,61.0,66.0
individuals with medium formal education,SWE,69.0,72.0,75.0,77.0,82.0,88.0,90.0
individuals with medium formal education,SVN,30.0,38.0,41.0,50.0,52.0,62.0,66.0
individuals with medium formal education,SVK,32.0,36.0,44.0,47.0,55.0,60.0,58.0
individuals with medium formal education,TUR,25.0,39.0,55.0,64.0,79.0,87.0,86.0
individuals with medium formal education,GBR,64.0,68.0,74.0,83.0,83.0,85.0,83.0
individuals with medium formal education,XKX,,,,,,80.0,84.0
Individuals with high formal education,AUT,57.0,65.0,75.0,78.0,80.0,88.0,86.0
Individuals with high formal education,BIH,,,,,,,93.0
Individuals with high formal education,BEL,57.0,60.0,74.0,81.0,84.0,87.0,89.0
Individuals with high formal education,BGR,32.0,41.0,51.0,66.0,71.0,83.0,82.0
Individuals with high formal education,CHE,,,73.0,,,80.0,
Individuals with high formal education,CYP,42.0,47.0,65.0,80.0,81.0,89.0,92.0
Individuals with high formal education,CZE,,50.0,60.0,69.0,,81.0,87.0
Individuals with high formal education,DEU,41.0,53.0,65.0,71.0,77.0,85.0,86.0
Individuals with high formal education,DNK,73.0,75.0,85.0,,92.0,92.0,95.0
Individuals with high formal education,EA,52.0,61.0,71.0,74.0,77.0,83.0,85.0
Individuals with high formal education,EST,48.0,57.0,73.0,69.0,69.0,73.0,76.0
Individuals with high formal education,GRC,37.0,45.0,59.0,64.0,71.0,76.0,78.0
Individuals with high formal education,ESP,58.0,73.0,84.0,87.0,91.0,94.0,95.0
Individuals with high formal education,EU27,55.0,63.0,72.0,76.0,78.0,83.0,86.0
Individuals with high formal education,EU28,55.0,63.0,72.0,76.0,78.0,83.0,86.0
Individuals with high formal education,FIN,67.0,70.0,80.0,83.0,86.0,88.0,88.0
Individuals with high formal education,FRA,64.0,72.0,78.0,80.0,79.0,85.0,88.0
Individuals with high formal education,HRV,60.0,60.0,61.0,69.0,79.0,62.0,80.0
Individuals with high formal education,HUN,32.0,46.0,63.0,74.0,77.0,82.0,84.0
Individuals with high formal education,IRL,70.0,78.0,85.0,88.0,85.0,89.0,90.0
Individuals with high formal education,ISL,70.0,75.0,79.0,,,92.0,90.0
Individuals with high formal education,ITA,33.0,31.0,40.0,41.0,44.0,46.0,56.0
Individuals with high formal education,LTU,27.0,39.0,47.0,56.0,67.0,77.0,81.0
Individuals with high formal education,LUX,72.0,72.0,79.0,84.0,82.0,87.0,93.0
Individuals with high formal education,LVA,37.0,45.0,51.0,58.0,66.0,75.0,76.0
Individuals with high formal education,MNE,57.0,,,,,89.0,85.0
Individuals with high formal education,MKD,46.0,53.0,65.0,78.0,81.0,86.0,83.0
Individuals with high formal education,MLT,74.0,79.0,83.0,91.0,87.0,95.0,93.0
Individuals with high formal education,NLD,66.0,77.0,84.0,87.0,90.0,95.0,94.0
Individuals with high formal education,NOR,85.0,89.0,86.0,89.0,88.0,92.0,93.0
Individuals with high formal education,POL,46.0,57.0,62.0,72.0,51.0,61.0,71.0
Individuals with high formal education,PRT,44.0,48.0,66.0,78.0,81.0,89.0,87.0
Individuals with high formal education,ROU,26.0,43.0,58.0,75.0,79.0,85.0,88.0
Individuals with high formal education,SRB,,,,55.0,,73.0,75.0
Individuals with high formal education,SWE,79.0,78.0,86.0,87.0,87.0,92.0,93.0
Individuals with high formal education,SVN,51.0,65.0,72.0,74.0,77.0,84.0,86.0
Individuals with high formal education,SVK,56.0,60.0,69.0,79.0,77.0,84.0,81.0
Individuals with high formal education,TUR,41.0,57.0,71.0,81.0,91.0,95.0,93.0
Individuals with high formal education,GBR,77.0,78.0,84.0,87.0,90.0,91.0,94.0
Individuals with high formal education,XKX,,,,,,92.0,89.0
All individuals,AUT,45.0,51.0,57.0,64.0,65.0,74.0,74.0
All individuals,BIH,,,,,,,60.0
All individuals,BEL,44.0,47.0,59.0,69.0,71.0,75.0,76.0
All individuals,BGR,13.0,20.0,27.0,38.0,45.0,56.0,57.0
All individuals,CHE,,,60.0,,,69.0,
All individuals,CYP,25.0,29.0,43.0,59.0,62.0,70.0,75.0
All individuals,CZE,,29.0,37.0,45.0,,60.0,66.0
All individuals,DEU,31.0,44.0,56.0,63.0,68.0,75.0,80.0
All individuals,DNK,61.0,66.0,75.0,78.0,82.0,83.0,88.0
All individuals,EA,34.0,42.0,51.0,56.0,59.0,65.0,69.0
All individuals,EST,37.0,46.0,58.0,61.0,62.0,68.0,71.0
All individuals,GRC,23.0,27.0,37.0,44.0,47.0,53.0,55.0
All individuals,ESP,38.0,50.0,62.0,67.0,72.0,78.0,80.0
All individuals,EU27,36.0,43.0,51.0,57.0,59.0,66.0,69.0
All individuals,EU28,36.0,43.0,51.0,57.0,59.0,65.0,69.0
All individuals,FIN,56.0,61.0,69.0,73.0,76.0,79.0,78.0
All individuals,FRA,43.0,51.0,58.0,61.0,61.0,68.0,74.0
All individuals,HRV,38.0,40.0,41.0,50.0,52.0,51.0,63.0
All individuals,HUN,18.0,29.0,43.0,52.0,58.0,62.0,63.0
All individuals,IRL,51.0,59.0,65.0,69.0,69.0,75.0,73.0
All individuals,ISL,60.0,61.0,68.0,,,84.0,83.0
All individuals,ITA,16.0,19.0,24.0,26.0,29.0,32.0,40.0
All individuals,LTU,17.0,25.0,32.0,38.0,45.0,55.0,62.0
All individuals,LUX,63.0,66.0,70.0,80.0,78.0,82.0,84.0
All individuals,LVA,25.0,32.0,35.0,44.0,48.0,57.0,59.0
All individuals,MNE,34.0,,,,,70.0,70.0
All individuals,MKD,17.0,27.0,40.0,52.0,57.0,65.0,61.0
All individuals,MLT,40.0,43.0,52.0,64.0,64.0,72.0,70.0
All individuals,NLD,55.0,65.0,70.0,76.0,78.0,87.0,86.0
All individuals,NOR,75.0,79.0,79.0,83.0,80.0,87.0,89.0
All individuals,POL,22.0,30.0,36.0,44.0,32.0,40.0,49.0
All individuals,PRT,21.0,24.0,37.0,45.0,51.0,58.0,60.0
All individuals,ROU,7.0,15.0,25.0,38.0,44.0,53.0,58.0
All individuals,SRB,,,,35.0,,53.0,57.0
All individuals,SWE,70.0,71.0,76.0,77.0,80.0,87.0,88.0
All individuals,SVN,30.0,39.0,42.0,51.0,54.0,63.0,67.0
All individuals,SVK,38.0,42.0,50.0,54.0,58.0,64.0,62.0
All individuals,TUR,14.0,21.0,32.0,40.0,53.0,62.0,64.0
All individuals,GBR,63.0,66.0,73.0,79.0,81.0,84.0,83.0
All individuals,XKX,,,,,,75.0,76.0
"Males, 16 TO 74 years old",AUT,51.0,57.0,63.0,69.0,69.0,77.0,76.0
"Males, 16 TO 74 years old",BIH,,,,,,,66.0
"Males, 16 TO 74 years old",BEL,48.0,53.0,62.0,70.0,73.0,76.0,78.0
"Males, 16 TO 74 years old",BGR,14.0,22.0,30.0,40.0,46.0,58.0,59.0
"Males, 16 TO 74 years old",CHE,,,65.0,,,72.0,
"Males, 16 TO 74 years old",CYP,28.0,32.0,46.0,61.0,63.0,70.0,76.0
"Males, 16 TO 74 years old",CZE,,34.0,43.0,49.0,,63.0,68.0
"Males, 16 TO 74 years old",DEU,37.0,49.0,60.0,66.0,70.0,77.0,81.0
"Males, 16 TO 74 years old",DNK,65.0,68.0,76.0,79.0,82.0,84.0,88.0
"Males, 16 TO 74 years old",EA,39.0,46.0,54.0,58.0,61.0,67.0,71.0
"Males, 16 TO 74 years old",EST,41.0,51.0,61.0,66.0,64.0,70.0,73.0
"Males, 16 TO 74 years old",GRC,27.0,29.0,40.0,48.0,50.0,56.0,58.0
"Males, 16 TO 74 years old",ESP,43.0,53.0,64.0,68.0,74.0,79.0,81.0
"Males, 16 TO 74 years old",EU27,40.0,46.0,55.0,60.0,62.0,68.0,71.0
"Males, 16 TO 74 years old",EU28,40.0,46.0,54.0,60.0,61.0,67.0,71.0
"Males, 16 TO 74 years old",FIN,62.0,66.0,74.0,74.0,77.0,80.0,79.0
"Males, 16 TO 74 years old",FRA,48.0,56.0,61.0,64.0,61.0,70.0,75.0
"Males, 16 TO 74 years old",HRV,47.0,48.0,42.0,55.0,55.0,59.0,65.0
"Males, 16 TO 74 years old",HUN,21.0,32.0,48.0,56.0,61.0,64.0,64.0
"Males, 16 TO 74 years old",IRL,53.0,60.0,65.0,69.0,68.0,73.0,73.0
"Males, 16 TO 74 years old",ISL,63.0,62.0,67.0,,,85.0,82.0
"Males, 16 TO 74 years old",ITA,20.0,21.0,26.0,29.0,31.0,34.0,42.0
"Males, 16 TO 74 years old",LTU,21.0,29.0,36.0,39.0,48.0,56.0,63.0
"Males, 16 TO 74 years old",LUX,69.0,70.0,73.0,84.0,80.0,84.0,87.0
"Males, 16 TO 74 years old",LVA,30.0,37.0,39.0,46.0,51.0,59.0,60.0
"Males, 16 TO 74 years old",MNE,38.0,,,,,73.0,70.0
"Males, 16 TO 74 years old",MKD,18.0,30.0,45.0,55.0,61.0,68.0,64.0
"Males, 16 TO 74 years old",MLT,44.0,45.0,52.0,64.0,65.0,72.0,70.0
"Males, 16 TO 74 years old",NLD,60.0,70.0,72.0,76.0,79.0,88.0,87.0
"Males, 16 TO 74 years old",NOR,80.0,81.0,82.0,84.0,81.0,87.0,90.0
"Males, 16 TO 74 years old",POL,25.0,34.0,38.0,46.0,34.0,42.0,50.0
"Males, 16 TO 74 years old",PRT,25.0,28.0,42.0,51.0,53.0,60.0,63.0
"Males, 16 TO 74 years old",ROU,9.0,17.0,28.0,41.0,48.0,55.0,59.0
"Males, 16 TO 74 years old",SRB,,,,41.0,,57.0,61.0
"Males, 16 TO 74 years old",SWE,74.0,73.0,77.0,77.0,81.0,88.0,86.0
"Males, 16 TO 74 years old",SVN,34.0,42.0,43.0,54.0,57.0,65.0,69.0
"Males, 16 TO 74 years old",SVK,43.0,46.0,55.0,58.0,60.0,67.0,64.0
"Males, 16 TO 74 years old",TUR,17.0,26.0,39.0,48.0,61.0,70.0,71.0
"Males, 16 TO 74 years old",GBR,67.0,69.0,74.0,81.0,81.0,84.0,83.0
"Males, 16 TO 74 years old",XKX,,,,,,76.0,76.0
Retired and other inactive,AUT,16.0,19.0,23.0,27.0,32.0,43.0,46.0
Retired and other inactive,BIH,,,,,,,31.0
Retired and other inactive,BEL,20.0,23.0,32.0,42.0,44.0,50.0,50.0
Retired and other inactive,BGR,1.0,3.0,4.0,9.0,11.0,19.0,21.0
Retired and other inactive,CHE,,,25.0,,,43.0,
Retired and other inactive,CYP,7.0,10.0,15.0,29.0,29.0,35.0,40.0
Retired and other inactive,CZE,,7.0,11.0,15.0,,24.0,29.0
Retired and other inactive,DEU,10.0,17.0,25.0,31.0,36.0,46.0,54.0
Retired and other inactive,DNK,36.0,37.0,47.0,55.0,59.0,61.0,75.0
Retired and other inactive,EA,11.0,16.0,22.0,26.0,30.0,37.0,43.0
Retired and other inactive,EST,13.0,21.0,27.0,27.0,27.0,31.0,35.0
Retired and other inactive,GRC,3.0,6.0,11.0,15.0,16.0,21.0,23.0
Retired and other inactive,ESP,9.0,15.0,24.0,28.0,36.0,45.0,51.0
Retired and other inactive,EU27,13.0,17.0,23.0,28.0,30.0,37.0,43.0
Retired and other inactive,EU28,13.0,16.0,22.0,28.0,30.0,36.0,42.0
Retired and other inactive,FIN,26.0,32.0,39.0,43.0,46.0,49.0,51.0
Retired and other inactive,FRA,18.0,25.0,30.0,32.0,33.0,39.0,49.0
Retired and other inactive,HRV,7.0,9.0,10.0,13.0,14.0,16.0,26.0
Retired and other inactive,HUN,4.0,9.0,17.0,21.0,27.0,30.0,30.0
Retired and other inactive,IRL,27.0,34.0,40.0,44.0,44.0,49.0,43.0
Retired and other inactive,ISL,,37.0,39.0,,,61.0,58.0
Retired and other inactive,ITA,3.0,3.0,5.0,7.0,9.0,12.0,19.0
Retired and other inactive,LTU,2.0,3.0,6.0,8.0,13.0,18.0,26.0
Retired and other inactive,LUX,36.0,46.0,45.0,58.0,59.0,61.0,65.0
Retired and other inactive,LVA,5.0,8.0,8.0,12.0,13.0,20.0,19.0
Retired and other inactive,MNE,9.0,,,,,29.0,22.0
Retired and other inactive,MKD,2.0,3.0,9.0,19.0,25.0,31.0,29.0
Retired and other inactive,MLT,13.0,14.0,22.0,33.0,33.0,40.0,36.0
Retired and other inactive,NLD,26.0,33.0,43.0,49.0,55.0,66.0,66.0
Retired and other inactive,NOR,44.0,55.0,43.0,57.0,49.0,63.0,69.0
Retired and other inactive,POL,4.0,9.0,11.0,16.0,9.0,13.0,19.0
Retired and other inactive,PRT,3.0,4.0,7.0,12.0,15.0,17.0,20.0
Retired and other inactive,ROU,1.0,3.0,7.0,12.0,15.0,23.0,28.0
Retired and other inactive,SRB,,,,6.0,,21.0,27.0
Retired and other inactive,SWE,33.0,33.0,43.0,44.0,58.0,60.0,
Retired and other inactive,SVN,3.0,7.0,12.0,11.0,23.0,23.0,25.0
Retired and other inactive,SVK,8.0,10.0,14.0,16.0,25.0,31.0,24.0
Retired and other inactive,TUR,4.0,7.0,13.0,17.0,29.0,39.0,44.0
Retired and other inactive,GBR,35.0,36.0,46.0,55.0,55.0,59.0,64.0
Retired and other inactive,XKX,,,,,,58.0,48.0
"Employees, self-employed, familly workers",AUT,53.0,60.0,67.0,74.0,74.0,84.0,83.0
"Employees, self-employed, familly workers",BIH,,,,,,,82.0
"Employees, self-employed, familly workers",BEL,51.0,54.0,69.0,79.0,82.0,85.0,87.0
"Employees, self-employed, familly workers",BGR,18.0,27.0,36.0,50.0,59.0,74.0,74.0
"Employees, self-employed, familly workers",CHE,,,67.0,,,76.0,
"Employees, self-employed, familly workers",CYP,26.0,31.0,48.0,66.0,72.0,78.0,84.0
"Employees, self-employed, familly workers",CZE,,33.0,43.0,52.0,,70.0,77.0
"Employees, self-employed, familly workers",DEU,38.0,52.0,66.0,73.0,78.0,85.0,88.0
"Employees, self-employed, familly workers",DNK,67.0,73.0,83.0,86.0,88.0,90.0,94.0
"Employees, self-employed, familly workers",EA,41.0,50.0,61.0,66.0,69.0,76.0,79.0
"Employees, self-employed, familly workers",EST,43.0,52.0,65.0,69.0,71.0,77.0,80.0
"Employees, self-employed, familly workers",GRC,29.0,35.0,50.0,57.0,59.0,66.0,68.0
"Employees, self-employed, familly workers",ESP,47.0,63.0,76.0,80.0,85.0,90.0,91.0
"Employees, self-employed, familly workers",EU27,43.0,51.0,61.0,67.0,69.0,75.0,79.0
"Employees, self-employed, familly workers",EU28,43.0,51.0,60.0,67.0,69.0,75.0,79.0
"Employees, self-employed, familly workers",FIN,64.0,69.0,77.0,82.0,85.0,88.0,88.0
