,ind_type,geo\time,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018
127,individuals with medium formal education,DE,29,41,53,61,66,74,79
128,individuals with medium formal education,DK,56,62,72,NA,80,83,88
129,individuals with medium formal education,EA,35,43,53,58,61,68,72
130,individuals with medium formal education,EE,32,42,49,56,58,63,66
131,individuals with medium formal education,EL,25,29,41,53,52,60,64
132,individuals with medium formal education,ES,49,61,76,79,82,88,89
133,individuals with medium formal education,EU27,35,42,50,57,59,65,69
134,individuals with medium formal education,EU28,35,42,50,57,59,65,69
135,individuals with medium formal education,FI,55,57,66,71,75,80,79
136,individuals with medium formal education,FR,42,51,60,62,60,70,74
137,individuals with medium formal education,HR,43,43,41,56,55,55,71
138,individuals with medium formal education,HU,16,27,42,52,58,63,62
139,individuals with medium formal education,IE,53,62,69,74,72,79,81
140,individuals with medium formal education,IS,58,59,65,NA,NA,85,82
141,individuals with medium formal education,IT,21,25,29,31,34,38,45
142,individuals with medium formal education,LT,13,18,22,26,30,40,49
143,individuals with medium formal education,LU,66,69,70,84,78,80,87
144,individuals with medium formal education,LV,20,27,27,38,40,49,50
145,individuals with medium formal education,ME,31,NA,NA,NA,NA,64,71
146,individuals with medium formal education,MK,18,30,44,59,62,69,62
147,individuals with medium formal education,MT,64,62,71,81,84,84,80
148,individuals with medium formal education,NL,58,68,71,80,82,89,89
149,individuals with medium formal education,NO,69,73,74,78,73,83,85
150,individuals with medium formal education,PL,16,24,28,36,24,31,41
151,individuals with medium formal education,PT,40,39,59,66,77,82,83
152,individuals with medium formal education,RO,6 ,14,24,37,45,54,58
153,individuals with medium formal education,RS,NA,NA,NA,46,NA,61,66
154,individuals with medium formal education,SE,69,72,75,77,82,88,90
155,individuals with medium formal education,SI,30,38,41,50,52,62,66
156,individuals with medium formal education,SK,32,36,44,47,55,60,58
157,individuals with medium formal education,TR,25,39,55,64,79,87,86
158,individuals with medium formal education,UK,64,68,74,83,83,85,83
159,individuals with medium formal education,XK,NA,NA,NA,NA,NA,80,84
160,Individuals with high formal education,AT,57,65,75,78,80,88,86
161,Individuals with high formal education,BA,NA,NA,NA,NA,NA,NA,93
162,Individuals with high formal education,BE,57,60,74,81,84,87,89
163,Individuals with high formal education,BG,32,41,51,66,71,83,82
164,Individuals with high formal education,CH,NA,NA,73,NA,NA,80,NA
165,Individuals with high formal education,CY,42,47,65,80,81,89,92
166,Individuals with high formal education,CZ,NA,50,60,69,NA,81,87
167,Individuals with high formal education,DE,41,53,65,71,77,85,86
168,Individuals with high formal education,DK,73,75,85,NA,92,92,95
169,Individuals with high formal education,EA,52,61,71,74,77,83,85
170,Individuals with high formal education,EE,48,57,73,69,69,73,76
171,Individuals with high formal education,EL,37,45,59,64,71,76,78
172,Individuals with high formal education,ES,58,73,84,87,91,94,95
173,Individuals with high formal education,EU27,55,63,72,76,78,83,86
174,Individuals with high formal education,EU28,55,63,72,76,78,83,86
175,Individuals with high formal education,FI,67,70,80,83,86,88,88
176,Individuals with high formal education,FR,64,72,78,80,79,85,88
177,Individuals with high formal education,HR,60,60,61,69,79,62,80
178,Individuals with high formal education,HU,32,46,63,74,77,82,84
179,Individuals with high formal education,IE,70,78,85,88,85,89,90
180,Individuals with high formal education,IS,70,75,79,NA,NA,92,90
181,Individuals with high formal education,IT,33,31,40,41,44,46,56
